0,0,0
0,82665,82766
0,148168,148194
0,206856,198808
0,216406,202031
0,216449,202065
0,216488,202059
0,216520,202090
0,216564,202110
0,216601,202126
0,216650,202139
0,216703,202172
21,216779,202211
77,216825,202210
100,216840,202224
112,216867,202221
115,216856,202215
144,216855,202207
222,216841,202207
307,216825,202198
317,216794,202179
362,216771,202174
402,216781,202172
437,216784,202187
563,216817,202187
592,216854,202210
611,216911,202223
675,216976,202262
705,217052,202284
734,217096,202313
752,217182,202338
727,217237,202372
723,217286,202378
825,217306,202397
787,217346,202404
843,217375,202418
907,217412,202438
923,217450,202451
979,217486,202453
1017,217524,202469
1232,217534,202478
1664,217566,202487
1856,217579,202498
710,217605,202498
559,217617,202498
1106,217636,202497
1321,217630,202510
1307,217638,202503
1369,217660,202511
1385,217655,202505
1399,217677,202516
1440,217686,202511
1486,217701,202533
1519,217737,202544
1517,217779,202550
1534,217823,202571
1607,217881,202582
1632,217919,202619
1658,217977,202608
1674,217979,202634
1680,218013,202632
1760,218033,202642
1791,217982,202608
1759,217795,202524
1733,217536,202409
1680,217201,202258
1633,216883,202157
1530,216634,202029
1476,216426,201950
1418,216279,201889
1371,216162,201854
1399,216107,201827
1415,216078,201823
1466,216077,201831
1488,216133,201854
1531,216181,201882
1557,216247,201919
1585,216298,201942
1604,216356,201946
1603,216369,201963
1646,216393,201942
1652,216382,201956
1680,216437,201946
1672,216494,201981
1726,216572,202014
1710,216647,202053
1692,216697,202080
1744,216736,202092
1710,216744,202093
1750,216733,202092
1749,216725,202099
1781,216716,202071
1801,216704,202077
1791,216681,202059
1805,216684,202062
1860,216708,202072
1829,216739,202088
1915,216775,202114
1887,216808,202141
1867,216880,202155
1837,216941,202193
1838,216999,202213
1846,217064,202238
1848,217152,202262
1849,217225,202298
1858,217309,202345
1856,217398,202369
1906,217471,202410
1921,217540,202433
1918,217599,202453
1923,217649,202473
2128,217673,202492
2448,217708,202506
2809,217750,202511
1776,217776,202527
1361,217831,202534
1713,217869,202561
1971,217901,202564
2014,217917,202583
2003,217918,202568
1991,217926,202579
1983,217951,202579
2093,217971,202606
2079,218020,202627
2002,218075,202649
2013,218132,202680
2043,218201,202697
2073,218267,202733
2092,218353,202748
2086,218382,202783
2147,218448,202789
2170,218482,202804
2151,218495,202801
2175,218444,202789
2128,218307,202713
2092,218038,202596
2071,217713,202450
1948,217391,202319
1873,217100,202210
1799,216849,202114
1738,216660,202028
1713,216527,201964
1729,216419,201945
1728,216386,201932
1719,216388,201936
1733,216414,201951
1707,216463,201971
1724,216538,202008
1745,216625,202031
1775,216671,202061
1785,216730,202072
1801,216753,202089
1810,216802,202100
1776,216837,202122
1745,216910,202146
1774,216980,202183
1781,217063,202205
1747,217123,202227
1715,217145,202242
1764,217131,202214
1744,217105,202209
1746,217073,202196
1755,217049,202197
1770,217034,202174
1728,216981,202172
1791,216988,202161
1798,217009,202173
1795,217025,202172
1776,217055,202193
1824,217092,202210
1825,217161,202225
1760,217209,202260
1728,217292,202291
1741,217337,202318
1723,217424,202343
1663,217497,202383
1670,217560,202404
1649,217617,202435
1647,217683,202458
1643,217731,202469
1787,217746,202489
2057,217780,202484
2622,217776,202497
1763,217796,202477
1090,217794,202494
1264,217826,202497
1637,217825,202516
1719,217856,202527
1655,217893,202531
1682,217912,202544
1755,217914,202533
1735,217918,202531
1744,217940,202540
1744,217945,202566
1711,218015,202575
1712,218057,202610
1753,218138,202627
1749,218192,202667
1810,218264,202692
1794,218297,202707
1799,218339,202716
1817,218339,202723
1825,218309,202709
1837,218204,202637
1845,217993,202562
1820,217724,202421
1731,217411,202301
1634,217130,202172
1522,216871,202066
1456,216646,201967
1425,216473,201897
1415,216342,201855
1443,216312,201858
1475,216284,201854
1523,216311,201861
1533,216353,201904
1600,216405,201906
1626,216456,201936
1629,216515,201945
1671,216536,201966
1707,216578,201981
1683,216593,201987
1745,216630,202004
1710,216693,202027
1732,216760,202065
1731,216807,202070
1776,216844,202095
1729,216862,202096
1760,216849,202099
1791,216839,202075
1747,216791,202067
1743,216767,202036
1763,216705,202018
1794,216685,201987
1799,216653,201990
1813,216656,201989
1839,216668,201989
1841,216698,202013
1794,216760,202029
1847,216794,202056
1822,216869,202074
1785,216914,202111
1730,216998,202132
1726,217060,202172
1755,217126,202183
1723,217191,202214
1716,217235,202239
1712,217279,202253
1709,217315,202261
1697,217355,202274
1712,217385,202286
1863,217433,202300
2302,217458,202320
2389,217486,202321
1279,217512,202337
1115,217528,202337
1535,217568,202352
1727,217576,202349
1731,217578,202367
1726,217595,202365
1755,217623,202379
1760,217665,202397
1712,217707,202406
1727,217742,202424
1728,217795,202446
1682,217820,202464
1708,217873,202477
1758,217911,202490
1807,217960,202499
1733,217998,202531
1791,218074,202552
1812,218113,202587
1866,218120,202568
1886,218013,202526
1893,217821,202416
1878,217545,202302
1799,217240,202187
1738,216941,202047
1670,216678,201954
1554,216466,201856
1479,216293,201797
1466,216195,201753
1509,216120,201731
1535,216088,201724
1521,216111,201736
1564,216152,201743
1567,216198,201774
1616,216275,201792
1600,216334,201808
1647,216399,201840
1668,216445,201856
1612,216473,201880
1622,216518,201899
1651,216552,201917
1616,216606,201925
1639,216680,201963
1619,216749,201983
1623,216793,202008
1663,216825,202021
1648,216842,202019
1614,216841,202029
1631,216821,202012
1616,216794,202010
1598,216789,201996
1584,216776,201998
1563,216793,201988
1601,216785,202006
1629,216809,202019
1625,216846,202040
1637,216899,202052
1631,216951,202083
1626,217010,202097
1600,217073,202115
1521,217130,202163
1526,217193,202163
1488,217217,202185
1535,217269,202191
1584,217299,202219
1534,217360,202240
1569,217406,202265
1573,217444,202279
1600,217463,202289
1885,217477,202291
2339,217485,202287
1968,217492,202288
969,217493,202280
1149,217498,202290
1525,217530,202293
1681,217536,202301
1649,217565,202299
1647,217574,202325
1666,217596,202320
1677,217598,202329
1621,217611,202306
1673,217595,202314
1712,217615,202316
1712,217636,202324
1730,217662,202326
1733,217705,202352
1779,217750,202369
1776,217786,202376
1810,217824,202394
1856,217825,202379
1856,217786,202362
1840,217699,202310
1845,217511,202238
1810,217241,202109
1731,216935,201987
1648,216664,201871
1519,216412,201767
1503,216193,201677
1395,216030,201618
1377,215896,201567
1397,215811,201530
1403,215776,201518
1438,215777,201512
1455,215821,201549
1445,215887,201557
1509,215929,201588
1495,215974,201592
1509,216009,201609
1508,216059,201632
1535,216083,201655
1535,216120,201660
1585,216172,201688
1565,216231,201712
1615,216298,201745
1566,216364,201771
1571,216408,201778
1581,216411,201781
1600,216430,201772
1584,216400,201782
1559,216401,201766
1654,216371,201756
1619,216348,201725
1679,216328,201727
1665,216335,201726
1616,216317,201729
1633,216359,201742
1686,216395,201771
1674,216437,201791
1612,216501,201811
1599,216554,201849
1575,216622,201860
1567,216665,201889
1647,216716,201895
1664,216741,201915
1655,216797,201926
1677,216835,201958
1706,216881,201968
1846,216915,201984
2075,216931,201978
2617,216963,201980
1795,216954,202006
1163,216977,201999
1315,216991,202002
1709,216995,202002
1785,216982,202013
1709,216970,201991
1749,216965,202006
1763,216976,201994
1744,216971,201997
1758,216972,201997
1750,216992,202004
1808,217017,202024
1767,217060,202033
1794,217094,202060
1789,217140,202063
1785,217173,202099
1804,217222,202105
1840,217236,202102
1806,217261,202108
1840,217250,202100
1776,217186,202065
